"Relative Time","Checkout","Checkout_Transaction","Login","Login_Transaction","Search","Search_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","","","","0.005"
"01:04","0.022","0.132","0.005","0.066","0.013","0.1","",""
"02:08","0.018","0.104","0.005","0.057","0.009","0.073","",""
"03:12","0.018","0.111","0.005","0.059","0.011","0.081","",""
"04:16","0.015","0.098","0.004","0.058","0.01","0.08","",""
"05:20","0.019","0.129","0.005","0.066","0.009","0.08","",""
"06:24","0.02","0.132","0.004","0.056","0.011","0.103","",""
"07:28","0.02","0.145","0.005","0.064","0.009","0.085","",""
"08:32","0.025","0.148","0.004","0.061","0.009","0.105","",""
"09:36","0.023","0.178","0.004","0.064","0.013","0.104","",""
"10:40","0.03","0.195","0.005","0.074","0.017","0.197","",""
"11:44","0.025","0.164","0.006","0.086","0.011","0.141","",""
"12:48","0.039","0.268","0.008","0.21","0.025","0.371","",""
"13:52","0.024","0.154","0.006","0.075","0.012","0.163","",""
"14:56","0.033","0.196","0.006","0.102","0.016","0.247","",""
"16:00","0.032","0.207","0.006","0.106","0.011","0.201","",""
"17:04","0.018","0.147","0.004","0.089","0.008","0.149","",""
"18:08","0.021","0.148","0.01","0.084","0.011","0.175","",""
"19:12","0.034","0.197","0.007","0.122","0.015","0.221","",""
"20:16","0.042","0.229","0.009","0.115","0.014","0.19","",""
"21:20","0.126","0.432","0.013","0.115","0.013","0.242","",""
"22:24","0.026","0.187","0.007","0.094","0.041","0.175","",""
"23:28","0.052","0.293","0.007","0.07","0.017","0.18","",""
"24:32","0.027","0.191","0.006","0.065","0.009","0.136","",""
"25:36","0.039","0.238","0.007","0.083","0.017","0.163","",""
"26:40","0.036","0.23","0.007","0.09","0.011","0.173","",""
"27:44","0.057","0.261","0.006","0.092","0.013","0.194","",""
"28:48","0.044","0.221","0.006","0.067","0.012","0.177","",""
"29:52","0.061","0.249","0.008","0.1","0.011","0.248","",""
"30:56","0.061","0.236","0.006","0.113","0.012","0.176","",""
"32:00","0.028","0.181","0.005","0.098","0.011","0.175","",""
"33:04","0.066","0.319","0.007","0.104","0.016","0.288","",""
"34:08","0.045","0.222","0.005","0.083","0.01","0.109","",""
"35:12","0.045","0.206","0.006","0.065","0.012","0.123","",""
"36:16","0.04","0.228","0.005","0.08","0.018","0.191","",""
"37:20","0.06","0.253","0.006","0.089","0.015","0.21","",""
"38:24","0.038","0.211","0.005","0.078","0.01","0.153","",""
"39:28","0.046","0.222","0.005","0.069","0.017","0.174","",""
"40:32","0.035","0.223","0.004","0.076","0.009","0.169","",""
"41:36","0.041","0.212","0.006","0.072","0.01","0.124","",""
"42:40","0.039","0.204","0.004","0.076","0.009","0.111","",""
"43:44","0.031","0.175","0.005","0.064","0.008","0.122","",""
"44:48","0.029","0.186","0.006","0.068","0.009","0.113","",""
"45:52","0.028","0.181","0.006","0.065","0.009","0.115","",""
"46:56","0.035","0.17","0.005","0.067","0.009","0.11","",""
"48:00","0.04","0.197","0.005","0.094","0.012","0.137","",""
"49:04","0.114","0.925","0.01","0.857","0.042","0.783","",""
"50:08","0.016","0.112","0.007","0.083","0.01","0.088","",""
"51:12","0.026","0.149","0.004","0.066","0.009","0.101","",""
"52:16","0.039","0.207","0.004","0.061","0.009","0.137","",""
"53:20","0.04","0.186","0.005","0.066","0.012","0.167","",""
"54:24","0.037","0.237","0.005","0.084","0.012","0.166","",""
"55:28","0.035","0.211","0.004","0.067","0.011","0.166","",""
"56:32","0.034","0.207","0.008","0.076","0.016","0.164","0.001",""
"57:36","0.035","0.182","0.005","0.056","0.024","0.147","0",""
